District code,State name,District name,Population,Male,Male_Literate
501,MAHARASHTRA,Akola,1813906,932334,758977
502,MAHARASHTRA,Washim,1197160,620302,487703
503,MAHARASHTRA,Amravati,2888445,1480768,1207104
504,MAHARASHTRA,Wardha,1300774,668385,552617
505,MAHARASHTRA,Nagpur,4653570,2384975,1959220
506,MAHARASHTRA,Bhandara,1200334,605520,488709
507,MAHARASHTRA,Gondiya,1322507,661554,542837
508,MAHARASHTRA,Gadchiroli,1072942,541328,395110
509,MAHARASHTRA,Chandrapur,2204307,1123834,872565
510,MAHARASHTRA,Yavatmal,2772348,1419965,1115980
511,MAHARASHTRA,Nanded,3361292,1730075,1255222
512,MAHARASHTRA,Hingoli,1177345,606294,450551
513,MAHARASHTRA,Parbhani,1836086,942870,666291
514,MAHARASHTRA,Jalna,1959046,1011473,699428
515,MAHARASHTRA,Aurangabad,3701282,1924469,1430936
516,MAHARASHTRA,Nashik,6107187,3157186,2397538
517,MAHARASHTRA,Thane,11060148,5865078,4591396
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4223029
519,MAHARASHTRA,Mumbai,3085411,1684608,1410680
520,MAHARASHTRA,Raigarh,2634200,1344345,1059692
521,MAHARASHTRA,Pune,9429408,4924105,3940210
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,1773355
523,MAHARASHTRA,Bid,2585049,1349106,987185
524,MAHARASHTRA,Latur,2454196,1273140,932432
525,MAHARASHTRA,Osmanabad,1657576,861535,644304
526,MAHARASHTRA,Solapur,4317756,2227852,1651266
527,MAHARASHTRA,Satara,3003741,1510842,1201034
528,MAHARASHTRA,Ratnagiri,1615069,761121,619012
529,MAHARASHTRA,Sindhudurg,849651,417332,348289
530,MAHARASHTRA,Kolhapur,3876001,1980658,1559760
531,MAHARASHTRA,Sangli,2822143,1435728,1121550
532,ANDHRA PRADESH,Adilabad,2741239,1369597,856350
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,790214
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1257238
535,ANDHRA PRADESH,Medak,3033288,1523030,953406
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1542688
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,1948784
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,1158386
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1160757
540,ANDHRA PRADESH,Warangal,3512576,1759281,1179790
541,ANDHRA PRADESH,Khammam,2797370,1390988,901640
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,857824
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,707503
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,1422878
545,ANDHRA PRADESH,East Godavari,5154296,2569688,1716933
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1379223
547,ANDHRA PRADESH,Krishna,4517398,2267375,1598959
548,ANDHRA PRADESH,Guntur,4887813,2440521,1634726
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1107686
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1011922
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,994699
552,ANDHRA PRADESH,Kurnool,4053463,2039227,1246369
553,ANDHRA PRADESH,Anantapur,4081148,2064495,1338474
554,ANDHRA PRADESH,Chittoor,4174064,2090204,1484794
555,KARNATAKA,Belgaum,4779661,2423063,1725548
556,KARNATAKA,Bagalkot,1889752,950111,641388
557,KARNATAKA,Bijapur,2177331,1111022,730566
558,KARNATAKA,Bidar,1703300,870665,597198
559,KARNATAKA,Raichur,1928812,964511,577213
560,KARNATAKA,Koppal,1389920,699926,468785
561,KARNATAKA,Gadag,1064570,537147,397178
562,KARNATAKA,Dharwad,1847023,937206,711776
563,KARNATAKA,Uttara Kannada,1437169,726256,582099
564,KARNATAKA,Haveri,1597668,819128,603793
565,KARNATAKA,Bellary,2452595,1236954,813440
566,KARNATAKA,Chitradurga,1659456,840843,607188
567,KARNATAKA,Davanagere,1945497,986400,720637
568,KARNATAKA,Shimoga,1752753,877415,674938
569,KARNATAKA,Udupi,1177361,562131,465704
570,KARNATAKA,Chikmagalur,1137961,566622,438257
571,KARNATAKA,Tumkur,2678980,1350594,1006024
572,KARNATAKA,Bangalore,9621551,5022661,4078041
573,KARNATAKA,Mandya,1805769,905085,638668
574,KARNATAKA,Hassan,1776421,883667,668836
575,KARNATAKA,Dakshina Kannada,2089649,1034714,864019
576,KARNATAKA,Kodagu,554519,274608,215302
577,KARNATAKA,Mysore,3001127,1511600,1063766
578,KARNATAKA,Chamarajanagar,1020791,512231,312957
579,KARNATAKA,Gulbarga,2566326,1301755,828359
580,KARNATAKA,Yadgir,1174271,590329,306751
581,KARNATAKA,Kolar,1536401,776396,564110
582,KARNATAKA,Chikkaballapura,1255104,636437,442158
583,KARNATAKA,Bangalore Rural,990923,509172,385311
584,KARNATAKA,Ramanagara,1082636,548008,378461
585,GOA,North Goa,818008,416677,351738
586,GOA,South Goa,640537,322463,264085
587,LAKSHADWEEP,Lakshadweep,64473,33123,28023
588,KERALA,Kasaragod,1307375,628613,516476
589,KERALA,Kannur,2523003,1181446,1012956
590,KERALA,Wayanad,817420,401684,328136
591,KERALA,Kozhikode,3086293,1470942,1266939
592,KERALA,Malappuram,4112920,1960328,1597404
593,KERALA,Palakkad,2809934,1359478,1122600
594,KERALA,Thrissur,3121200,1480763,1282261
595,KERALA,Ernakulam,3282388,1619557,1425723
596,KERALA,Idukki,1108974,552808,471881
597,KERALA,Kottayam,1974551,968289,861592
598,KERALA,Alappuzha,2127789,1013142,890552
599,KERALA,Pathanamthitta,1197412,561716,499181
600,KERALA,Kollam,2635375,1246968,1074345
601,KERALA,Thiruvananthapuram,3301427,1581678,1354857
602,TAMIL NADU,Thiruvallur,3728104,1876062,1495711
603,TAMIL NADU,Chennai,4646732,2335844,1968079
604,TAMIL NADU,Kancheepuram,3998252,2012958,1611461
605,TAMIL NADU,Vellore,3936331,1961688,1504355
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,909803
607,TAMIL NADU,Viluppuram,3458873,1740819,1234479
608,TAMIL NADU,Salem,3482056,1781571,1285107
609,TAMIL NADU,Namakkal,1726601,869280,653312
610,TAMIL NADU,Erode,2251744,1129868,828300
611,TAMIL NADU,The Nilgiris,735394,360143,299447
612,TAMIL NADU,Dindigul,2159775,1080938,816180
613,TAMIL NADU,Karur,1064493,528184,401726
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1087765
615,TAMIL NADU,Perambalur,565223,282157,208011
616,TAMIL NADU,Ariyalur,754894,374703,269582
617,TAMIL NADU,Cuddalore,2605914,1311697,1000322
618,TAMIL NADU,Nagapattinam,1616450,798127,640916
619,TAMIL NADU,Thiruvarur,1264277,626693,503085
620,TAMIL NADU,Thanjavur,2405890,1182416,944264
621,TAMIL NADU,Pudukkottai,1618345,803188,608776
622,TAMIL NADU,Sivaganga,1339101,668672,526304
623,TAMIL NADU,Madurai,3038252,1526475,1223810
624,TAMIL NADU,Theni,1245899,625683,479403
625,TAMIL NADU,Virudhunagar,1942288,967709,760375
626,TAMIL NADU,Ramanathapuram,1353445,682658,536487
627,TAMIL NADU,Thoothukkudi,1750176,865021,703106
628,TAMIL NADU,Tirunelveli,3077233,1520912,1210710
629,TAMIL NADU,Kanniyakumari,1870374,926345,780541
630,TAMIL NADU,Dharmapuri,1506843,774303,527599
631,TAMIL NADU,Krishnagiri,1879809,960232,667062
632,TAMIL NADU,Coimbatore,3458045,1729297,1394790
633,TAMIL NADU,Tiruppur,2479052,1246159,959623
634,PONDICHERRY,Yanam,55626,27301,19919
635,PONDICHERRY,PONDICHERRY,950289,468258,380946
636,PONDICHERRY,Mahe,41816,19143,16610
637,PONDICHERRY,Karaikal,200222,97809,79903
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,15397
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,43186
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,105794
