District code,State name,District name,Population,Male,Male_Literate
116,RAJASTHAN,Jalor,1828730,936634,543923
117,RAJASTHAN,Sirohi,1036346,534231,309900
118,RAJASTHAN,Pali,2037573,1025422,667381
119,RAJASTHAN,Ajmer,2583052,1324085,926268
120,RAJASTHAN,Tonk,1421326,728136,478329
121,RAJASTHAN,Bundi,1110906,577160,371705
122,RAJASTHAN,Bhilwara,2408523,1220736,777582
123,RAJASTHAN,Rajsamand,1156597,581339,383334
124,RAJASTHAN,Dungarpur,1388552,696532,415820
125,RAJASTHAN,Banswara,1797485,907754,513854
126,RAJASTHAN,Chittaurgarh,1544338,783171,514851
127,RAJASTHAN,Kota,1951014,1021161,765396
128,RAJASTHAN,Baran,1222755,633945,432607
129,RAJASTHAN,Jhalawar,1411129,725143,466815
130,RAJASTHAN,Udaipur,3068420,1566801,973444
131,RAJASTHAN,Pratapgarh,867848,437744,250122
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1220114
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1448528
134,UTTAR PRADESH,Bijnor,3682713,1921215,1241471
135,UTTAR PRADESH,Moradabad,4772006,2503186,1357435
136,UTTAR PRADESH,Rampur,2335819,1223889,630408
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,600541
138,UTTAR PRADESH,Meerut,3443689,1825743,1254520
139,UTTAR PRADESH,Baghpat,1303048,700070,489858
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,1811397
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,666065
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1253314
143,UTTAR PRADESH,Aligarh,3673889,1951996,1283380
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,579157
145,UTTAR PRADESH,Mathura,2547184,1367125,943346
146,UTTAR PRADESH,Agra,4418797,2364953,1614594
147,UTTAR PRADESH,Firozabad,2498156,1332046,912314
148,UTTAR PRADESH,Mainpuri,1868529,993377,712110
149,UTTAR PRADESH,Budaun,3681896,1967759,986501
150,UTTAR PRADESH,Bareilly,4448359,2357665,1342697
151,UTTAR PRADESH,Pilibhit,2031007,1072002,654290
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,915142
153,UTTAR PRADESH,Kheri,4021243,2123187,1237157
154,UTTAR PRADESH,Sitapur,4483992,2375264,1397702
155,UTTAR PRADESH,Hardoi,4092845,2191442,1374587
156,UTTAR PRADESH,Unnao,3108367,1630087,1053063
157,UTTAR PRADESH,Lucknow,4589838,2394476,1742440
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1165965
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,654827
160,UTTAR PRADESH,Kannauj,1656616,881776,603596
161,UTTAR PRADESH,Etawah,1581810,845856,623583
162,UTTAR PRADESH,Auraiya,1379545,740040,546198
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,692964
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,1829179
165,UTTAR PRADESH,Jalaun,1689974,906092,653430
166,UTTAR PRADESH,Jhansi,1998603,1057436,783705
167,UTTAR PRADESH,Lalitpur,1221592,641011,397586
168,UTTAR PRADESH,Hamirpur,1104285,593537,408125
169,UTTAR PRADESH,Mahoba,875958,466358,302283
170,UTTAR PRADESH,Banda,1799410,965876,630626
171,UTTAR PRADESH,Chitrakoot,991730,527721,330339
172,UTTAR PRADESH,Fatehpur,2632733,1384722,911003
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1121381
174,UTTAR PRADESH,Kaushambi,1599596,838485,507279
175,UTTAR PRADESH,Allahabad,5954391,3131807,2199340
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1010518
177,UTTAR PRADESH,Faizabad,2470996,1259628,838339
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,846676
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1300248
180,UTTAR PRADESH,Bahraich,3487731,1843884,878285
181,UTTAR PRADESH,Shrawasti,1117361,593897,276700
182,UTTAR PRADESH,Balrampur,2148665,1114721,544943
183,UTTAR PRADESH,Gonda,3433919,1787146,1034181
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,740718
185,UTTAR PRADESH,Basti,2464464,1255272,819719
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,567098
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,881674
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,1593890
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1183722
190,UTTAR PRADESH,Deoria,3100946,1537436,1079288
191,UTTAR PRADESH,Azamgarh,4613913,2285004,1559414
192,UTTAR PRADESH,Mau,2205968,1114709,773082
193,UTTAR PRADESH,Ballia,3239774,1672902,1160960
194,UTTAR PRADESH,Jaunpur,4494204,2220465,1565394
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1293553
196,UTTAR PRADESH,Chandauli,1952756,1017905,699454
197,UTTAR PRADESH,Varanasi,3676841,1921857,1389116
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,546782
199,UTTAR PRADESH,Mirzapur,2496970,1312302,865837
200,UTTAR PRADESH,Sonbhadra,1862559,971344,601988
201,UTTAR PRADESH,Etah,1774480,947339,647042
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,452803
203,BIHAR,Pashchim Champaran,3935042,2061110,1091226
204,BIHAR,Purba Champaran,5099371,2681209,1407603
205,BIHAR,Sheohar,656246,346673,171645
206,BIHAR,Sitamarhi,3423574,1803252,885188
207,BIHAR,Madhubani,4487379,2329313,1340085
208,BIHAR,Supaul,2229076,1155283,647672
209,BIHAR,Araria,2811569,1463333,727643
210,BIHAR,Kishanganj,1690400,866970,439921
211,BIHAR,Purnia,3264619,1699370,805261
212,BIHAR,Katihar,3071029,1600430,762256
213,BIHAR,Madhepura,2001762,1047559,517666
214,BIHAR,Saharsa,1900661,997174,506374
215,BIHAR,Darbhanga,3937385,2059949,1125566
216,BIHAR,Muzaffarpur,4801062,2527497,1487117
217,BIHAR,Gopalganj,2562012,1267666,793905
218,BIHAR,Siwan,3330464,1675090,1115906
219,BIHAR,Saran,3951862,2022821,1285767
220,BIHAR,Vaishali,3495021,1844535,1152576
221,BIHAR,Samastipur,4261566,2230003,1293575
222,BIHAR,Begusarai,2970541,1567660,918507
223,BIHAR,Khagaria,1666886,883786,461153
224,BIHAR,Bhagalpur,3037766,1615663,937669
225,BIHAR,Banka,2034763,1067140,590961
226,BIHAR,Munger,1367765,729041,473741
227,BIHAR,Lakhisarai,1000912,526345,305182
228,BIHAR,Sheikhpura,636342,329743,196431
229,BIHAR,Nalanda,2877653,1497060,919558
230,BIHAR,Patna,5838465,3078512,2028047
231,BIHAR,Bhojpur,2728407,1430380,973486
232,BIHAR,Buxar,1706352,887977,593544
233,BIHAR,Kaimur (Bhabua),1626384,847006,549923
234,BIHAR,Rohtas,2959918,1543546,1061783
235,BIHAR,Aurangabad,2540073,1318684,868733
236,BIHAR,Gaya,4391418,2266566,1368803
237,BIHAR,Nawada,2219146,1144668,659474
238,BIHAR,Jamui,1760405,916064,534385
239,BIHAR,Jehanabad,1125313,585582,374412
240,BIHAR,Arwal,700843,363497,235279
241,SIKKIM,North  District,43709,24730,18579
242,SIKKIM,West District,136435,70238,51988
243,SIKKIM,South District,146850,76670,59357
244,SIKKIM,East District,283583,151432,121345
245,ARUNACHAL PRADESH,Tawang,49977,29151,17720
246,ARUNACHAL PRADESH,West Kameng,83947,46155,29566
247,ARUNACHAL PRADESH,East Kameng,78690,38775,21599
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,65794
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,24807
250,ARUNACHAL PRADESH,West Siang,112274,58168,36777
251,ARUNACHAL PRADESH,East Siang,99214,50116,34210
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,10723
253,ARUNACHAL PRADESH,Changlang,148226,76948,44027
254,ARUNACHAL PRADESH,Tirap,111975,57604,29313
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,29470
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,20258
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,2614
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,18087
259,ARUNACHAL PRADESH,Lohit,145726,76221,48380
260,ARUNACHAL PRADESH,Anjaw,21167,11507,6523
261,NAGALAND,Mon,250260,131753,67432
262,NAGALAND,Mokokchung,194622,101092,83479
263,NAGALAND,Zunheboto,140757,71217,53504
264,NAGALAND,Wokha,166343,84505,67385
265,NAGALAND,Dimapur,378811,197394,150142
266,NAGALAND,Phek,163418,83743,57926
267,NAGALAND,Tuensang,196596,101933,63653
268,NAGALAND,Longleng,50484,26502,16139
269,NAGALAND,Kiphire,74004,37830,22675
270,NAGALAND,Kohima,267988,138966,107038
271,NAGALAND,Peren,95219,49714,34584
272,MANIPUR,Senapati,479148,247323,148012
273,MANIPUR,Tamenglong,140651,72371,47403
274,MANIPUR,Churachandpur,274143,138820,104013
275,MANIPUR,Bishnupur,237399,118782,87313
276,MANIPUR,Thoubal,422168,210845,152617
277,MANIPUR,Imphal West,517992,255054,205985
278,MANIPUR,Imphal East,456113,226094,173314
279,MANIPUR,Ukhrul,183998,94718,70148
280,MANIPUR,Chandel,144182,74579,51053
281,MIZORAM,Mamit,86364,44828,32977
282,MIZORAM,Kolasib,83955,42918,34147
283,MIZORAM,Aizawl,400309,199270,169547
284,MIZORAM,Champhai,125745,63388,51440
285,MIZORAM,Serchhip,64937,32851,27598
286,MIZORAM,Lunglei,161428,82891,64515
287,MIZORAM,Lawngtlai,117894,60599,36444
288,MIZORAM,Saiha,56574,28594,21861
289,TRIPURA,West Tripura,1725739,879428,722998
290,TRIPURA,South Tripura,876001,447544,351082
291,TRIPURA,Dhalai,378230,194544,151643
292,TRIPURA,North Tripura,693947,352860,275646
293,MEGHALAYA,West Garo Hills,643291,324159,193438
294,MEGHALAYA,East Garo Hills,317917,161223,102513
295,MEGHALAYA,South Garo Hills,142334,73170,45003
296,MEGHALAYA,West Khasi Hills,383461,193715,117307
297,MEGHALAYA,Ribhoi,258840,132531,80977
298,MEGHALAYA,East Khasi Hills,825922,410749,287270
299,MEGHALAYA,Jaintia Hills,395124,196285,87371
300,ASSAM,Kokrajhar,887142,452905,275220
301,ASSAM,Dhubri,1949258,997848,511551
302,ASSAM,Goalpara,1008183,513292,304302
303,ASSAM,Barpeta,1693622,867004,499038
304,ASSAM,Morigaon,957423,486651,289698
305,ASSAM,Nagaon,2823768,1439112,921850
306,ASSAM,Sonitpur,1924110,983904,620525
307,ASSAM,Lakhimpur,1042137,529674,375552
308,ASSAM,Dhemaji,686133,351249,237761
309,ASSAM,Tinsukia,1327929,680231,453449
310,ASSAM,Dibrugarh,1326335,676434,491361
311,ASSAM,Sivasagar,1151050,589216,444767
312,ASSAM,Jorhat,1092256,556805,432335
313,ASSAM,Golaghat,1066888,543161,396475
314,ASSAM,Karbi Anglong,956313,490167,314253
315,ASSAM,Dima Hasao,214102,110802,78559
316,ASSAM,Cachar,1736617,886284,639946
317,ASSAM,Karimganj,1228686,625864,435942
318,ASSAM,Hailakandi,659296,337890,226836
319,ASSAM,Bongaigaon,738804,375818,237114
320,ASSAM,Chirang,482162,244860,145869
321,ASSAM,Kamrup,1517542,778461,550219
322,ASSAM,Kamrup Metropolitan,1253938,647585,537227
323,ASSAM,Nalbari,771639,396006,293184
324,ASSAM,Baksa,950075,481330,322614
325,ASSAM,Darrang,928500,475273,268666
326,ASSAM,Udalguri,831668,421617,264326
327,WEST BENGAL,Darjiling,1846823,937259,717673
328,WEST BENGAL,Jalpaiguri,3872846,1983064,1396622
329,WEST BENGAL,Koch Bihar,2819086,1451542,1028733
330,WEST BENGAL,Uttar Dinajpur,3007134,1551066,853495
331,WEST BENGAL,Dakshin Dinajpur,1676276,857199,596474
332,WEST BENGAL,Maldah,3988845,2051541,1152019
333,WEST BENGAL,Murshidabad,7103807,3627564,2177187
334,WEST BENGAL,Birbhum,3502404,1790920,1201481
335,WEST BENGAL,Barddhaman,7717563,3966889,2918040
336,WEST BENGAL,Nadia,5167600,2653768,1878866
