District code,State name,District name,Population,Female,Female_Literate
506,MAHARASHTRA,Bhandara,1200334,594814,411151
507,MAHARASHTRA,Gondiya,1322507,660953,461406
508,MAHARASHTRA,Gadchiroli,1072942,531614,313255
509,MAHARASHTRA,Chandrapur,2204307,1080473,706050
510,MAHARASHTRA,Yavatmal,2772348,1352383,906594
511,MAHARASHTRA,Nanded,3361292,1631217,934203
512,MAHARASHTRA,Hingoli,1177345,571051,340192
513,MAHARASHTRA,Parbhani,1836086,893216,491523
514,MAHARASHTRA,Jalna,1959046,947573,496095
515,MAHARASHTRA,Aurangabad,3701282,1776813,1072901
516,MAHARASHTRA,Nashik,6107187,2950001,1947828
517,MAHARASHTRA,Thane,11060148,5195070,3635765
518,MAHARASHTRA,Mumbai Suburban,9356962,4325639,3352456
519,MAHARASHTRA,Mumbai,3085411,1400803,1098342
520,MAHARASHTRA,Raigarh,2634200,1289855,880302
521,MAHARASHTRA,Pune,9429408,4505303,3231513
522,MAHARASHTRA,Ahmadnagar,4543159,2200334,1378535
523,MAHARASHTRA,Bid,2585049,1235943,731322
524,MAHARASHTRA,Latur,2454196,1181056,718240
525,MAHARASHTRA,Osmanabad,1657576,796041,493506
526,MAHARASHTRA,Solapur,4317756,2089904,1259410
527,MAHARASHTRA,Satara,3003741,1492899,1024660
528,MAHARASHTRA,Ratnagiri,1615069,853948,580380
529,MAHARASHTRA,Sindhudurg,849651,432319,317778
530,MAHARASHTRA,Kolhapur,3876001,1895343,1266085
531,MAHARASHTRA,Sangli,2822143,1386415,927917
532,ANDHRA PRADESH,Adilabad,2741239,1371642,626997
533,ANDHRA PRADESH,Nizamabad,2551335,1300694,599596
534,ANDHRA PRADESH,Karimnagar,3776269,1895469,949591
535,ANDHRA PRADESH,Medak,3033288,1510258,683731
536,ANDHRA PRADESH,Hyderabad,3943323,1924748,1349467
537,ANDHRA PRADESH,Rangareddy,5296741,2595733,1589244
538,ANDHRA PRADESH,Mahbubnagar,4053028,2002642,782260
539,ANDHRA PRADESH,Nalgonda,3488809,1729037,840262
540,ANDHRA PRADESH,Warangal,3512576,1753295,885233
541,ANDHRA PRADESH,Khammam,2797370,1406382,728594
542,ANDHRA PRADESH,Srikakulam,2703114,1361376,637557
543,ANDHRA PRADESH,Vizianagaram,2344474,1182997,530885
544,ANDHRA PRADESH,Visakhapatnam,4290589,2151679,1145371
545,ANDHRA PRADESH,East Godavari,5154296,2584608,1571644
546,ANDHRA PRADESH,West Godavari,3936966,1972048,1273166
547,ANDHRA PRADESH,Krishna,4517398,2250023,1410759
548,ANDHRA PRADESH,Guntur,4887813,2447292,1325715
549,ANDHRA PRADESH,Prakasam,3397448,1682684,796749
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1470583,820267
551,ANDHRA PRADESH,Y.S.R.,2882469,1430692,722067
552,ANDHRA PRADESH,Kurnool,4053463,2014236,880792
553,ANDHRA PRADESH,Anantapur,4081148,2016653,972486
554,ANDHRA PRADESH,Chittoor,4174064,2083860,1183084
555,KARNATAKA,Belgaum,4779661,2356598,1326484
556,KARNATAKA,Bagalkot,1889752,939641,472024
557,KARNATAKA,Bijapur,2177331,1066309,517702
558,KARNATAKA,Bidar,1703300,832635,445475
559,KARNATAKA,Raichur,1928812,964301,402556
560,KARNATAKA,Koppal,1389920,689994,340300
561,KARNATAKA,Gadag,1064570,527423,302999
562,KARNATAKA,Dharwad,1847023,909817,589888
563,KARNATAKA,Uttara Kannada,1437169,710913,499807
564,KARNATAKA,Haveri,1597668,778540,481650
565,KARNATAKA,Bellary,2452595,1215641,608181
566,KARNATAKA,Chitradurga,1659456,818613,480204
567,KARNATAKA,Davanagere,1945497,959097,587903
568,KARNATAKA,Shimoga,1752753,875338,588078
569,KARNATAKA,Udupi,1177361,615230,460725
570,KARNATAKA,Chikmagalur,1137961,571339,380088
571,KARNATAKA,Tumkur,2678980,1328386,807367
572,KARNATAKA,Bangalore,9621551,4598890,3434235
573,KARNATAKA,Mandya,1805769,900684,510981
574,KARNATAKA,Hassan,1776421,892754,556420
575,KARNATAKA,Dakshina Kannada,2089649,1054935,802304
576,KARNATAKA,Kodagu,554519,279911,197575
577,KARNATAKA,Mysore,3001127,1489527,898414
578,KARNATAKA,Chamarajanagar,1020791,508560,252322
579,KARNATAKA,Gulbarga,2566326,1264571,599009
580,KARNATAKA,Yadgir,1174271,583942,203252
581,KARNATAKA,Kolar,1536401,760005,452109
582,KARNATAKA,Chikkaballapura,1255104,618667,341064
583,KARNATAKA,Bangalore Rural,990923,481751,303438
584,KARNATAKA,Ramanagara,1082636,534628,296297
585,GOA,North Goa,818008,401331,311322
586,GOA,South Goa,640537,318074,238342
587,LAKSHADWEEP,Lakshadweep,64473,31350,24530
588,KERALA,Kasaragod,1307375,678762,521016
589,KERALA,Kannur,2523003,1341557,1125478
590,KERALA,Wayanad,817420,415736,317449
591,KERALA,Kozhikode,3086293,1615351,1348504
592,KERALA,Malappuram,4112920,2152592,1713911
593,KERALA,Palakkad,2809934,1450456,1116892
594,KERALA,Thrissur,3121200,1640437,1396287
595,KERALA,Ernakulam,3282388,1662831,1429953
596,KERALA,Idukki,1108974,556166,451129
597,KERALA,Kottayam,1974551,1006262,888206
598,KERALA,Alappuzha,2127789,1114647,962245
599,KERALA,Pathanamthitta,1197412,635696,563372
600,KERALA,Kollam,2635375,1388407,1165928
601,KERALA,Thiruvananthapuram,3301427,1719749,1430551
602,TAMIL NADU,Thiruvallur,3728104,1852042,1296010
603,TAMIL NADU,Chennai,4646732,2310888,1808197
604,TAMIL NADU,Kancheepuram,3998252,1985294,1401921
605,TAMIL NADU,Vellore,3936331,1974643,1269573
606,TAMIL NADU,Tiruvannamalai,2464875,1228986,717010
607,TAMIL NADU,Viluppuram,3458873,1718054,961297
608,TAMIL NADU,Salem,3482056,1700485,1000455
609,TAMIL NADU,Namakkal,1726601,857321,522819
610,TAMIL NADU,Erode,2251744,1121876,664362
611,TAMIL NADU,The Nilgiris,735394,375251,270200
612,TAMIL NADU,Dindigul,2159775,1078837,665654
613,TAMIL NADU,Karur,1064493,536309,325318
614,TAMIL NADU,Tiruchirappalli,2722290,1370006,951216
615,TAMIL NADU,Perambalur,565223,283066,167812
616,TAMIL NADU,Ariyalur,754894,380191,211022
617,TAMIL NADU,Cuddalore,2605914,1294217,814959
618,TAMIL NADU,Nagapattinam,1616450,818323,572092
619,TAMIL NADU,Thiruvarur,1264277,637584,443386
620,TAMIL NADU,Thanjavur,2405890,1223474,846734
621,TAMIL NADU,Pudukkottai,1618345,815157,501769
622,TAMIL NADU,Sivaganga,1339101,670429,433440
623,TAMIL NADU,Madurai,3038252,1511777,1049620
624,TAMIL NADU,Theni,1245899,620216,390677
625,TAMIL NADU,Virudhunagar,1942288,974579,638413
626,TAMIL NADU,Ramanathapuram,1353445,670787,442459
627,TAMIL NADU,Thoothukkudi,1750176,885155,646591
628,TAMIL NADU,Tirunelveli,3077233,1556321,1062747
629,TAMIL NADU,Kanniyakumari,1870374,944029,768197
630,TAMIL NADU,Dharmapuri,1506843,732540,390110
631,TAMIL NADU,Krishnagiri,1879809,919577,520896
632,TAMIL NADU,Coimbatore,3458045,1728748,1241117
633,TAMIL NADU,Tiruppur,2479052,1232893,800943
634,PONDICHERRY,Yanam,55626,28325,19355
635,PONDICHERRY,PONDICHERRY,950289,482031,345703
636,PONDICHERRY,Mahe,41816,22673,19860
637,PONDICHERRY,Karaikal,200222,102413,75013
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,16115,9935
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,50736,35497
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,110859,84472
